t,nu,x,pi_p,y,c,n,mrs,mpl,mc_gap,mc_slope,mc_identity_error,i,is_residual,omega_p,lambda_p,kappa_p,price_residual
0,0.0025,-0.0025908507909362974,-0.0008807182556648142,-0.0025908507909362974,-0.0025908507909362974,-0.003454467721248396,-0.01986318939717828,0.000863616930312099,-0.020726806327490375,0.0,0.0,0.0008550662676357415,0.0,0.0,0.0,0.0,1.0842021724855044e-19
1,0.00125,-0.0012954253954681487,-0.0004403591278324071,-0.0012954253954681487,-0.0012954253954681487,-0.001727233860624198,-0.00993159469858914,0.0004318084651560495,-0.010363403163745188,0.0,0.0,0.00042753313381787075,-1.0842021724855044e-19,0.0,0.0,0.0,1.0842021724855044e-19
2,0.000625,-0.0006477126977340743,-0.0002201795639162035,-0.0006477126977340743,-0.0006477126977340743,-0.000863616930312099,-0.00496579734929457,0.00021590423257802476,-0.005181701581872594,0.0,0.0,0.00021376656690893543,0.0,0.0,0.0,0.0,0.0
3,0.0003125,-0.00032385634886703717,-0.00011008978195810175,-0.00032385634886703717,-0.00032385634886703717,-0.0004318084651560495,-0.002482898674647285,0.00010795211628901238,-0.002590850790936297,0.0,0.0,0.00010688328345446772,0.0,0.0,0.0,0.0,0.0
4,0.00015625,-0.00016192817443351859,-5.504489097905088e-05,-0.00016192817443351859,-0.00016192817443351859,-0.00021590423257802476,-0.0012414493373236425,5.397605814450619e-05,-0.0012954253954681485,0.0,0.0,5.344164172723386e-05,1.3552527156068805e-20,0.0,0.0,0.0,-6.776263578034403e-21
5,7.8125e-05,-8.096408721675929e-05,-2.7522445489525445e-05,-8.096408721675929e-05,-8.096408721675929e-05,-0.00010795211628901238,-0.0006207246686618212,2.6988029072253095e-05,-0.0006477126977340742,0.0,0.0,2.6720820863616922e-05,-6.776263578034403e-21,0.0,0.0,0.0,6.776263578034403e-21
6,3.90625e-05,-4.0482043608379646e-05,-1.376122274476272e-05,-4.0482043608379646e-05,-4.0482043608379646e-05,-5.397605814450619e-05,-0.0003103623343309106,1.3494014536126548e-05,-0.0003238563488670371,0.0,0.0,1.3360410431808464e-05,3.3881317890172014e-21,0.0,0.0,0.0,-1.6940658945086007e-21
7,1.953125e-05,-2.0241021804189823e-05,-6.880611372381361e-06,-2.0241021804189823e-05,-2.0241021804189823e-05,-2.6988029072253095e-05,-0.0001551811671654553,6.747007268063274e-06,-0.00016192817443351856,0.0,0.0,6.6802052159042305e-06,0.0,0.0,0.0,0.0,8.470329472543003e-22
8,9.765625e-06,-1.0120510902094912e-05,-3.4403056861906807e-06,-1.0120510902094912e-05,-1.0120510902094912e-05,-1.3494014536126548e-05,-7.759058358272766e-05,3.373503634031637e-06,-8.096408721675928e-05,0.0,0.0,3.3401026079521153e-06,0.0,0.0,0.0,0.0,4.235164736271502e-22
9,4.8828125e-06,-5.060255451047456e-06,-1.7201528430953403e-06,-5.060255451047456e-06,-5.060255451047456e-06,-6.747007268063274e-06,-3.879529179136383e-05,1.6867518170158185e-06,-4.048204360837964e-05,0.0,0.0,1.6700513039760576e-06,-4.235164736271502e-22,0.0,0.0,0.0,4.235164736271502e-22
10,2.44140625e-06,-2.530127725523728e-06,-8.6007642154767e-07,-2.530127725523728e-06,-2.530127725523728e-06,-3.373503634031637e-06,-1.9397645895681914e-05,8.433759085079092e-07,-2.024102180418982e-05,0.0,0.0,8.35025651988029e-07,0.0,0.0,0.0,0.0,0.0
11,1.220703125e-06,-1.265063862761864e-06,-4.30038210773835e-07,-1.265063862761864e-06,-1.265063862761864e-06,-1.6867518170158185e-06,-9.698822947840957e-06,4.216879542539546e-07,-1.012051090209491e-05,0.0,0.0,4.175128259940145e-07,0.0,0.0,0.0,0.0,0.0
12,6.103515625e-07,-6.32531931380932e-07,-2.150191053869175e-07,-6.32531931380932e-07,-6.32531931380932e-07,-8.433759085079092e-07,-4.8494114739204784e-06,2.108439771269773e-07,-5.060255451047455e-06,0.0,0.0,2.0875641299700726e-07,5.293955920339377e-23,0.0,0.0,0.0,-2.6469779601696886e-23
13,3.0517578125e-07,-3.16265965690466e-07,-1.0750955269345877e-07,-3.16265965690466e-07,-3.16265965690466e-07,-4.216879542539546e-07,-2.4247057369602392e-06,1.0542198856348865e-07,-2.5301277255237275e-06,0.0,0.0,1.043782064985036e-07,-2.6469779601696886e-23,0.0,0.0,0.0,1.3234889800848443e-23
14,1.52587890625e-07,-1.5813298284523297e-07,-5.3754776346729385e-08,-1.5813298284523297e-07,-1.5813298284523297e-07,-2.1084397712697728e-07,-1.2123528684801194e-06,5.271099428174432e-08,-1.2650638627618635e-06,0.0,0.0,5.21891032492518e-08,0.0,0.0,0.0,0.0,3.308722450212111e-24
15,7.62939453125e-08,-7.906649142261647e-08,-2.68773881733647e-08,-7.906649142261647e-08,-7.906649142261647e-08,-1.0542198856348863e-07,-6.061764342400596e-07,2.6355497140872157e-08,-6.325319313809317e-07,0.0,0.0,2.6094551624625894e-08,1.9852334701272664e-23,0.0,0.0,0.0,1.4889251025954498e-23
16,3.814697265625e-08,-3.953324571130825e-08,-1.3438694086682346e-08,-3.953324571130825e-08,-3.953324571130825e-08,-5.271099428174433e-08,-3.030882171200299e-07,1.3177748570436082e-08,-3.1626596569046593e-07,0.0,0.0,1.304727581231295e-08,0.0,0.0,0.0,0.0,1.6543612251060553e-24
17,1.9073486328125e-08,-1.9766622855654124e-08,-6.719347043341173e-09,-1.9766622855654124e-08,-1.9766622855654124e-08,-2.6355497140872163e-08,-1.5154410856001495e-07,6.588874285218041e-09,-1.5813298284523297e-07,0.0,0.0,6.523637906156475e-09,-1.6543612251060553e-24,0.0,0.0,0.0,1.6543612251060553e-24
18,9.5367431640625e-09,-9.883311427827062e-09,-3.3596735216705858e-09,-9.883311427827062e-09,-9.883311427827062e-09,-1.3177748570436082e-08,-7.577205428000748e-08,3.2944371426090204e-09,-7.906649142261648e-08,0.0,0.0,3.2618189530782384e-09,0.0,0.0,0.0,0.0,0.0
19,4.76837158203125e-09,-4.941655713913531e-09,-1.6798367608352929e-09,-4.941655713913531e-09,-4.941655713913531e-09,-6.588874285218041e-09,-3.788602714000374e-08,1.6472185713045102e-09,-3.953324571130824e-08,0.0,0.0,1.6309094765391192e-09,0.0,0.0,0.0,0.0,0.0
20,2.384185791015625e-09,-2.4708278569567655e-09,-8.399183804176464e-10,-2.4708278569567655e-09,-2.4708278569567655e-09,-3.2944371426090204e-09,-1.894301357000187e-08,8.236092856522551e-10,-1.976662285565412e-08,0.0,0.0,8.154547382695596e-10,2.0679515313825692e-25,0.0,0.0,0.0,-1.0339757656912846e-25
21,1.1920928955078125e-09,-1.2354139284783828e-09,-4.199591902088233e-10,-1.2354139284783828e-09,-1.2354139284783828e-09,-1.6472185713045102e-09,-9.471506785000934e-09,4.1180464282612755e-10,-9.88331142782706e-09,0.0,0.0,4.077273691347797e-10,-1.0339757656912846e-25,0.0,0.0,0.0,1.0339757656912846e-25
22,5.960464477539063e-10,-6.177069642391914e-10,-2.099795951044116e-10,-6.177069642391914e-10,-6.177069642391914e-10,-8.236092856522551e-10,-4.735753392500467e-09,2.0590232141306378e-10,-4.94165571391353e-09,0.0,0.0,2.038636845673899e-10,5.169878828456423e-26,0.0,0.0,0.0,-2.5849394142282115e-26
23,2.9802322387695313e-10,-3.088534821195957e-10,-1.0498979755220583e-10,-3.088534821195957e-10,-3.088534821195957e-10,-4.1180464282612755e-10,-2.3678766962502336e-09,1.0295116070653189e-10,-2.470827856956765e-09,0.0,0.0,1.0193184228369492e-10,0.0,0.0,0.0,0.0,1.2924697071141057e-26
24,1.4901161193847657e-10,-1.5442674105979785e-10,-5.2494898776102915e-11,-1.5442674105979785e-10,-1.5442674105979785e-10,-2.0590232141306378e-10,-1.1839383481251168e-09,5.1475580353265944e-11,-1.2354139284783826e-09,0.0,0.0,5.096592114184746e-11,0.0,0.0,0.0,0.0,6.462348535570529e-27
25,7.450580596923828e-11,-7.721337052989892e-11,-2.6247449388051458e-11,-7.721337052989892e-11,-7.721337052989892e-11,-1.0295116070653189e-10,-5.919691740625584e-10,2.5737790176632972e-11,-6.177069642391913e-10,0.0,0.0,2.548296057092373e-11,-6.462348535570529e-27,0.0,0.0,0.0,6.462348535570529e-27
26,3.725290298461914e-11,-3.860668526494946e-11,-1.3123724694025726e-11,-3.860668526494946e-11,-3.860668526494946e-11,-5.1475580353265944e-11,-2.959845870312792e-10,1.2868895088316486e-11,-3.0885348211959564e-10,0.0,0.0,1.2741480285461869e-11,3.2311742677852644e-27,0.0,0.0,0.0,-1.6155871338926322e-27
27,1.862645149230957e-11,-1.930334263247473e-11,-6.5618623470128644e-12,-1.930334263247473e-11,-1.930334263247473e-11,-2.5737790176632972e-11,-1.479922935156396e-10,6.434447544158243e-12,-1.5442674105979782e-10,0.0,0.0,6.370740142730933e-12,0.0,0.0,0.0,0.0,8.077935669463161e-28
28,9.313225746154785e-12,-9.651671316237365e-12,-3.2809311735064322e-12,-9.651671316237365e-12,-9.651671316237365e-12,-1.2868895088316486e-11,-7.39961467578198e-11,3.2172237720791215e-12,-7.721337052989891e-11,0.0,0.0,3.1853700713654664e-12,0.0,0.0,0.0,0.0,4.0389678347315804e-28
29,4.656612873077393e-12,-4.825835658118683e-12,-1.6404655867532161e-12,-4.825835658118683e-12,-4.825835658118683e-12,-6.434447544158243e-12,-3.69980733789099e-11,1.6086118860395608e-12,-3.8606685264949455e-11,0.0,0.0,1.5926850356827332e-12,-4.0389678347315804e-28,0.0,0.0,0.0,4.0389678347315804e-28
30,2.3283064365386963e-12,-2.4129178290593413e-12,-8.202327933766079e-13,-2.4129178290593413e-12,-2.4129178290593413e-12,-3.2172237720791215e-12,-1.849903668945495e-11,8.043059430197804e-13,-1.9303342632474727e-11,0.0,0.0,7.963425178413668e-13,2.0194839173657902e-28,0.0,0.0,0.0,-1.0097419586828951e-28
31,1.1641532182693482e-12,-1.2064589145296707e-12,-4.1011639668830403e-13,-1.2064589145296707e-12,-1.2064589145296707e-12,-1.6086118860395608e-12,-9.249518344727475e-12,4.021529715098902e-13,-9.651671316237364e-12,0.0,0.0,3.981712589206833e-13,0.0,0.0,0.0,0.0,5.048709793414476e-29
32,5.820766091346741e-13,-6.032294572648353e-13,-2.0505819834415201e-13,-6.032294572648353e-13,-6.032294572648353e-13,-8.043059430197804e-13,-4.6247591723637375e-12,2.010764857549451e-13,-4.825835658118682e-12,0.0,0.0,1.9908562946034165e-13,-5.048709793414476e-29,0.0,0.0,0.0,2.524354896707238e-29
33,2.9103830456733704e-13,-3.016147286324176e-13,-1.0252909917207601e-13,-3.016147286324176e-13,-3.016147286324176e-13,-4.0215297150989014e-13,-2.3123795861818684e-12,1.0053824287747253e-13,-2.4129178290593405e-12,0.0,0.0,9.954281473017082e-14,0.0,0.0,0.0,0.0,6.310887241768095e-30
34,1.4551915228366852e-13,-1.5080736431620878e-13,-5.1264549586038016e-14,-1.5080736431620878e-13,-1.5080736431620878e-13,-2.0107648575494504e-13,-1.156189793090934e-12,5.026912143873626e-14,-1.20645891452967e-12,0.0,0.0,4.97714073650854e-14,1.8932661725304283e-29,0.0,0.0,0.0,1.8932661725304283e-29
35,7.275957614183426e-14,-7.540368215810439e-14,-2.563227479301901e-14,-7.540368215810439e-14,-7.540368215810439e-14,-1.0053824287747252e-13,-5.78094896545467e-13,2.513456071936813e-14,-6.03229457264835e-13,0.0,0.0,2.48857036825427e-14,6.310887241768095e-30,0.0,0.0,0.0,7.888609052210118e-30
36,3.637978807091713e-14,-3.770184107905219e-14,-1.281613739650951e-14,-3.770184107905219e-14,-3.770184107905219e-14,-5.026912143873625e-14,-2.8904744827273344e-13,1.2567280359684062e-14,-3.0161472863241747e-13,0.0,0.0,1.244285184127134e-14,4.733165431326071e-30,0.0,0.0,0.0,1.1832913578315177e-29
37,1.8189894035458565e-14,-1.88509205395261e-14,-6.408068698254753e-15,-1.88509205395261e-14,-1.88509205395261e-14,-2.5134560719368134e-14,-1.4452372413636677e-13,6.2836401798420334e-15,-1.5080736431620878e-13,0.0,0.0,6.221425920635673e-15,0.0,0.0,0.0,0.0,2.7610131682735413e-30
38,9.094947017729283e-15,-9.425460269763052e-15,-3.204034349127376e-15,-9.425460269763052e-15,-9.425460269763052e-15,-1.2567280359684068e-14,-7.22618620681834e-14,3.141820089921017e-15,-7.54036821581044e-14,0.0,0.0,3.1107129603178367e-15,7.888609052210118e-31,0.0,0.0,0.0,1.5777218104420236e-30
39,4.547473508864641e-15,-4.712730134881529e-15,-1.6020171745636872e-15,-4.712730134881529e-15,-4.712730134881529e-15,-6.283640179842039e-15,-3.613093103409172e-14,1.5709100449605097e-15,-3.770184107905223e-14,0.0,0.0,1.5553564801589191e-15,0.0,0.0,0.0,0.0,3.944304526105059e-31
40,2.2737367544323206e-15,-2.3563650674407674e-15,-8.010085872818427e-16,-2.3563650674407674e-15,-2.3563650674407674e-15,-3.141820089921023e-15,-1.806546551704588e-14,7.854550224802558e-16,-1.8850920539526136e-14,0.0,0.0,7.776782400794607e-16,0.0,0.0,0.0,0.0,0.0
41,1.1368683772161603e-15,-1.1781825337203864e-15,-4.0050429364092013e-16,-1.1781825337203864e-15,-1.1781825337203864e-15,-1.5709100449605153e-15,-9.032732758522963e-15,3.927275112401288e-16,-9.42546026976309e-15,0.0,0.0,3.8883912003973185e-16,1.4791141972893971e-31,0.0,0.0,0.0,9.860761315262648e-32
42,5.684341886080802e-16,-5.890912668601965e-16,-2.0025214682045826e-16,-5.890912668601965e-16,-5.890912668601965e-16,-7.85455022480262e-16,-4.516366379261506e-15,1.963637556200655e-16,-4.712730134881571e-15,0.0,0.0,1.9441956001986824e-16,0.0,0.0,0.0,0.0,1.232595164407831e-32
43,2.842170943040401e-16,-2.9454563343010144e-16,-1.0012607341022678e-16,-2.9454563343010144e-16,-2.9454563343010144e-16,-3.927275112401352e-16,-2.2581831896307774e-15,9.81818778100338e-17,-2.356365067440811e-15,0.0,0.0,9.720978000993723e-17,-2.465190328815662e-32,0.0,0.0,0.0,-3.0814879110195774e-32
44,1.4210854715202004e-16,-1.472728167150537e-16,-5.006303670511049e-17,-1.472728167150537e-16,-1.472728167150537e-16,-1.963637556200716e-16,-1.1290915948154116e-15,4.90909389050179e-17,-1.1781825337204294e-15,0.0,0.0,4.860489000497258e-17,6.162975822039155e-33,0.0,0.0,0.0,3.0814879110195774e-33
45,7.105427357601002e-17,-7.363640835752934e-17,-2.5031518352551786e-17,-7.363640835752934e-17,-7.363640835752934e-17,-9.818187781003912e-17,-5.645457974077249e-16,2.454546945250978e-17,-5.890912668602346e-16,0.0,0.0,2.430244500249118e-17,6.162975822039155e-33,0.0,0.0,0.0,1.5407439555097887e-33
46,3.552713678800501e-17,-3.6818204178766206e-17,-1.2515759176271965e-17,-3.6818204178766206e-17,-3.6818204178766206e-17,-4.9090938905021605e-17,-2.8227289870387424e-16,1.2272734726255401e-17,-2.945456334301296e-16,0.0,0.0,1.2151222501251287e-17,6.162975822039155e-33,0.0,0.0,0.0,0.0
