t,nu_w,l,pi_w,activity_coefficient,activity_gap,labor_demand_coefficient,y,i,intertemporal_residual,lambda_w,kappa_w,wage_residual
0,0.0025,0.0025768294097181957,-0.0005673779427113535,0.0,0.007343963817696857,0.0,0.0018037805868027369,0.0016489330859329697,2.168404344971009e-19,0.0,0.0,5.421010862427522e-20
1,0.00125,0.0012884147048590978,-0.00028368897135567676,0.0,0.0036719819088484283,0.0,0.0009018902934013684,0.0008244665429664849,1.0842021724855044e-19,0.0,0.0,5.421010862427522e-20
2,0.000625,0.0006442073524295489,-0.00014184448567783835,0.0,0.0018359909544242142,0.0,0.0004509451467006842,0.0004122332714832425,0.0,0.0,0.0,-1.3552527156068805e-20
3,0.0003125,0.00032210367621477446,-7.092224283891919e-05,0.0,0.0009179954772121071,0.0,0.0002254725733503421,0.00020611663574162122,2.710505431213761e-20,0.0,0.0,6.776263578034403e-21
4,0.00015625,0.00016105183810738723,-3.5461121419459595e-05,0.0,0.00045899773860605354,0.0,0.00011273628667517106,0.00010305831787081061,1.3552527156068805e-20,0.0,0.0,3.3881317890172014e-21
5,7.8125e-05,8.052591905369361e-05,-1.7730560709729797e-05,0.0,0.00022949886930302677,0.0,5.636814333758553e-05,5.1529158935405304e-05,6.776263578034403e-21,0.0,0.0,3.3881317890172014e-21
6,3.90625e-05,4.026295952684681e-05,-8.865280354864897e-06,0.0,0.00011474943465151338,0.0,2.8184071668792764e-05,2.5764579467702655e-05,0.0,0.0,0.0,-8.470329472543003e-22
7,1.953125e-05,2.0131479763423404e-05,-4.432640177432449e-06,0.0,5.737471732575669e-05,0.0,1.4092035834396382e-05,1.2882289733851326e-05,1.6940658945086007e-21,0.0,0.0,4.235164736271502e-22
8,9.765625e-06,1.0065739881711702e-05,-2.2163200887162247e-06,0.0,2.8687358662878346e-05,0.0,7.046017917198191e-06,6.441144866925663e-06,8.470329472543003e-22,0.0,0.0,4.235164736271502e-22
9,4.8828125e-06,5.032869940855851e-06,-1.1081600443581121e-06,0.0,1.4343679331439173e-05,0.0,3.5230089585990955e-06,3.220572433462832e-06,0.0,0.0,0.0,1.0587911840678754e-22
