t,nu_w,l,pi_w,activity_coefficient,activity_gap,labor_demand_coefficient,y,i,intertemporal_residual,lambda_w,kappa_w,wage_residual
0,0.0025,-0.003359308182077355,-0.0002324669770977858,0.0,-0.009574028318920461,0.0,-0.0023515157274541483,0.0021512995343533213,0.0,0.0,0.0,-6.776263578034403e-20
1,0.00125,-0.0016796540910386775,-0.00011623348854889293,0.0,-0.004787014159460231,0.0,-0.0011757578637270742,0.0010756497671766607,0.0,0.0,0.0,6.776263578034403e-21
2,0.000625,-0.0008398270455193388,-5.811674427444645e-05,0.0,-0.0023935070797301153,0.0,-0.0005878789318635371,0.0005378248835883303,0.0,0.0,0.0,-1.0164395367051604e-20
3,0.0003125,-0.0004199135227596694,-2.9058372137223227e-05,0.0,-0.0011967535398650577,0.0,-0.00029393946593176854,0.00026891244179416516,0.0,0.0,0.0,-5.082197683525802e-21
4,0.00015625,-0.0002099567613798347,-1.4529186068611613e-05,0.0,-0.0005983767699325288,0.0,-0.00014696973296588427,0.00013445622089708258,0.0,0.0,0.0,-4.235164736271502e-21
5,7.8125e-05,-0.00010497838068991734,-7.264593034305808e-06,0.0,-0.0002991883849662644,0.0,-7.348486648294214e-05,6.722811044854129e-05,0.0,0.0,0.0,4.235164736271502e-22
6,3.90625e-05,-5.248919034495867e-05,-3.6322965171529033e-06,0.0,-0.0001495941924831322,0.0,-3.674243324147107e-05,3.3614055224270646e-05,0.0,0.0,0.0,-6.352747104407253e-22
7,1.953125e-05,-2.6244595172479336e-05,-1.8161482585764517e-06,0.0,-7.47970962415661e-05,0.0,-1.8371216620735534e-05,1.6807027612135323e-05,0.0,0.0,0.0,-3.1763735522036263e-22
8,9.765625e-06,-1.3122297586239668e-05,-9.080741292882258e-07,0.0,-3.739854812078305e-05,0.0,-9.185608310367767e-06,8.403513806067661e-06,0.0,0.0,0.0,-2.6469779601696886e-22
9,4.8828125e-06,-6.561148793119834e-06,-4.54037064644113e-07,0.0,-1.8699274060391526e-05,0.0,-4.5928041551838835e-06,4.201756903033831e-06,0.0,0.0,0.0,2.6469779601696886e-23
10,2.44140625e-06,-3.280574396559917e-06,-2.2701853232205646e-07,0.0,-9.349637030195763e-06,0.0,-2.2964020775919417e-06,2.1008784515169154e-06,0.0,0.0,0.0,-3.970466940254533e-23
11,1.220703125e-06,-1.6402871982799585e-06,-1.1350926616102823e-07,0.0,-4.6748185150978815e-06,0.0,-1.1482010387959709e-06,1.0504392257584577e-06,0.0,0.0,0.0,-1.9852334701272664e-23
12,6.103515625e-07,-8.201435991399793e-07,-5.6754633080514114e-08,0.0,-2.3374092575489407e-06,0.0,-5.741005193979854e-07,5.252196128792288e-07,0.0,0.0,0.0,-1.6543612251060553e-23
13,3.0517578125e-07,-4.100717995699896e-07,-2.8377316540257064e-08,0.0,-1.1687046287744704e-06,0.0,-2.870502596989927e-07,2.626098064396144e-07,0.0,0.0,0.0,1.6543612251060553e-24
14,1.52587890625e-07,-2.050358997849948e-07,-1.4188658270128529e-08,0.0,-5.843523143872352e-07,0.0,-1.4352512984949636e-07,1.313049032198072e-07,0.0,0.0,0.0,-2.481541837659083e-24
15,7.62939453125e-08,-1.025179498924974e-07,-7.094329135064264e-09,0.0,-2.921761571936176e-07,0.0,-7.176256492474818e-08,6.56524516099036e-08,0.0,0.0,0.0,-4.1359030627651384e-25
16,3.814697265625e-08,-5.12589749462487e-08,-3.5471645675321313e-09,0.0,-1.460880785968088e-07,0.0,-3.588128246237409e-08,3.28262258049518e-08,0.0,0.0,0.0,-1.4475660719677984e-24
17,1.9073486328125e-08,-2.562948747312435e-08,-1.773582283766066e-09,0.0,-7.30440392984044e-08,0.0,-1.7940641231187045e-08,1.64131129024759e-08,0.0,0.0,0.0,-1.0339757656912846e-25
18,9.5367431640625e-09,-1.2814743736562176e-08,-8.867911418830328e-10,0.0,-3.65220196492022e-08,0.0,-8.970320615593522e-09,8.20655645123795e-09,0.0,0.0,0.0,-2.5849394142282115e-25
19,4.76837158203125e-09,-6.407371868281088e-09,-4.433955709415164e-10,0.0,-1.82610098246011e-08,0.0,-4.485160307796761e-09,4.103278225618975e-09,0.0,0.0,0.0,-1.2924697071141057e-25
20,2.384185791015625e-09,-3.203685934140544e-09,-2.216977854707582e-10,0.0,-9.13050491230055e-09,0.0,-2.2425801538983806e-09,2.0516391128094876e-09,0.0,0.0,0.0,-9.04728794979874e-26
21,1.1920928955078125e-09,-1.601842967070272e-09,-1.1084889273537913e-10,0.0,-4.565252456150275e-09,0.0,-1.1212900769491903e-09,1.0258195564047438e-09,0.0,0.0,0.0,-6.462348535570529e-27
22,5.960464477539063e-10,-8.00921483535136e-10,-5.542444636768955e-11,0.0,-2.2826262280751374e-09,0.0,-5.606450384745952e-10,5.129097782023719e-10,0.0,0.0,0.0,-1.6155871338926322e-26
23,2.9802322387695313e-10,-4.00460741767568e-10,-2.7712223183844776e-11,0.0,-1.1413131140375687e-09,0.0,-2.803225192372976e-10,2.5645488910118596e-10,0.0,0.0,0.0,-8.077935669463161e-27
24,1.4901161193847657e-10,-2.00230370883784e-10,-1.3856111591922388e-11,0.0,-5.706565570187844e-10,0.0,-1.401612596186488e-10,1.2822744455059298e-10,0.0,0.0,0.0,-5.6545549686242126e-27
25,7.450580596923828e-11,-1.00115185441892e-10,-6.928055795961196e-12,0.0,-2.853282785093922e-10,0.0,-7.00806298093244e-11,6.411372227529649e-11,0.0,0.0,0.0,-4.0389678347315804e-28
