t,Z,K,L,C,I,r,w,Y,goods_mkt,euler,walras
0,0.01,0.010688718466355393,0.005122125431868939,0.005212392794332712,0.010688718466355393,0.000556538894124085,0.00959329738764906,0.015901111260688106,0.0,1.6263032587282567e-18,-1.734723475976807e-18
1,0.009000000000000001,0.01909390159467217,0.004099223427635206,0.005558190570634384,0.00867240108997566,0.0003790372524733037,0.009016917727347612,0.01423059166061005,5.204170427930421e-18,4.336808689942018e-18,-3.469446951953614e-18
2,0.008100000000000001,0.025581937032212322,0.0032366462745153724,0.005770878660048306,0.006965382977406957,0.00023313252591572136,0.008454657673016501,0.012736261637455257,-5.204170427930421e-18,-2.087089182034596e-18,5.204170427930421e-18
3,0.007290000000000001,0.030466887497741325,0.0025117664440266773,0.00587496494756761,0.005524498891334311,0.00011409148104829335,0.007910050681438968,0.011399463838901919,-2.6020852139652106e-18,1.7584403984999275e-18,8.673617379884035e-19
4,0.006561,0.034017505846983875,0.0019049686200540488,0.005891234114414634,0.004312290536686084,1.783302474549621e-05,0.007385714867631539,0.01020352465110072,1.734723475976807e-18,-7.589415207398531e-19,-3.469446951953614e-18
5,0.005904900000000001,0.036463346060425665,0.0013992633092295148,0.005837264555390825,0.0032962778596163853,-5.915733058888716e-05,0.006883508404142149,0.00913354241500721,0.0,5.421010862427522e-19,4.336808689942018e-18
6,0.00531441,0.03800008358137042,0.000979948768794659,0.0057278771725204035,0.0024483211724554005,-0.0001199021390533157,0.0064046621228012164,0.008176198344975799,-5.204170427930421e-18,2.981555974335137e-19,2.168404344971009e-19
7,0.004782969000000001,0.038794144473367695,0.000634315320333525,0.005575524724683555,0.0017440629815315342,-0.0001669971792568254,0.005949892423434595,0.007319587706215092,3.469446951953614e-18,-5.692061405548898e-19,2.4936649967166602e-18
8,0.004304672100000001,0.03898673060049412,0.0003513868359128934,0.005390629332762993,0.0011624397389606161,-0.0002026682823067244,0.005519497189871535,0.006553069071723607,-1.734723475976807e-18,9.215718466126788e-19,3.415236843329339e-18
9,0.003874204890000001,0.03869731725840086,0.0001216948152980701,0.005181874791787417,0.0006852549229190916,-0.00022882086894532156,0.005113437060473515,0.005867129714706512,3.469446951953614e-18,-1.0842021724855044e-19,2.6020852139652106e-18
10,0.003486784401000001,0.03802669021958218,-6.291897075928398e-05,0.004956459509693471,0.00029680589264134694,-0.00024708310765956534,0.004731404092053745,0.0052532654023348105,-7.806255641895632e-18,1.6263032587282567e-19,7.15573433840433e-18
11,0.0031381059609000006,0.0370595808453216,-0.00020947480662803866,0.0047203151625973445,-1.6442118771026193e-05,-0.00025884349363870026,0.004372879586904371,0.0047038730438263105,-7.806255641895632e-18,5.421010862427522e-19,8.673617379884035e-18
12,0.0028242953648100013,0.03586695062036309,-0.00032400543207367354,0.004478295516502055,-0.00026614070382546817,-0.0002652835500610386,0.004037182617827732,0.0042121548126765876,8.673617379884035e-19,1.0842021724855044e-19,2.168404344971009e-19
13,0.002541865828329001,0.0345079700622237,-0.0004116872426217554,0.0042343393042819765,-0.0004623067926303112,-0.0002674062667280551,0.003723510581303337,0.0037720325116516566,-8.673617379884035e-18,-7.047314121155779e-19,5.204170427930421e-18
14,0.002287679245496101,0.033031731337501286,-0.0004769546827269328,0.003991610555002749,-0.0006135394731668214,-0.00026606081510141647,0.003430972930460956,0.003378071081835939,1.1275702593849246e-17,3.2526065174565133e-19,-9.107298248878237e-18
15,0.002058911320946491,0.03147872898769885,-0.0005235999314729699,0.003752619341723077,-0.0007272090663648992,-0.00026196401207554776,0.003158619084079718,0.003025410275358174,-3.903127820947816e-18,-1.6263032587282567e-19,5.204170427930421e-18
16,0.0018530201888518416,0.02988213884349045,-0.0005548597229407532,0.0035193255364690344,-0.0008096219195159286,-0.00025571894622419795,0.002905461372505533,0.002709703616953104,-1.734723475976807e-18,-5.421010862427522e-20,3.686287386450715e-18
17,0.0016677181699666576,0.028268921415501514,-0.0005734909169625729,0.003293227830547975,-0.0008661639569016756,-0.0002478311288157971,0.0026704937636418966,0.0024270638736462995,0.0,-1.6263032587282567e-19,3.469446951953614e-18
18,0.0015009463529699917,0.026660772726884305,-0.0005818362370002903,0.003075439989040704,-0.0009014256532296691,-0.00023872248673742721,0.0024527070098020803,0.0021740143358110363,1.3010426069826053e-18,1.0842021724855044e-18,-1.3010426069826053e-18
19,0.0013508517176729928,0.025074942641321946,-0.0005818814170534861,0.0028667560551324666,-0.0009193107673902516,-0.0002287434748420533,0.0022511007672681746,0.0019474452877422156,6.505213034913027e-19,-6.505213034913027e-19,-4.336808689942018e-19
20,0.0012157665459056935,0.023524938189514226,-0.0005753048459233145,0.0026677059984801755,-0.0009231308857746701,-0.00021818355047003026,0.002064693163179644,0.001744575112705499,-6.5052130349130266e-18,5.149960319306146e-19,7.15573433840433e-18
21,0.0010941898913151243,0.02202112716363548,-0.000563520662275228,0.0024786031081668112,-0.0009156875711408864,-0.00020728022240550193,0.0018925282173780289,0.001562915537025928,3.2526065174565133e-18,-4.336808689942018e-19,-5.637851296924623e-18
22,0.0009847709021836117,0.020571255293966428,-0.0005477161355096932,0.0022995842615378815,-0.0008993436905781679,-0.00019622685979326076,0.0017336814687577684,0.0014002405709597097,-3.903127820947816e-18,1.6263032587282567e-19,7.37257477290143e-18
23,0.0008862938119652507,0.019180888610819312,-0.0005288840634832093,0.002130644052339213,-0.0008760853007979547,-0.00018517942310613763,0.0015872641053717726,0.001254558751541254,-4.336808689942018e-18,3.5236570605778894e-19,6.071532165918825e-18
24,0.0007976644307687256,0.017853791098048095,-0.0005078508268774696,0.0019716636324356974,-0.0008475752975007356,-0.00017426225871594665,0.0014524258540130667,0.0011240883349349648,3.0357660829594124e-18,2.439454888092385e-19,4.336808689942018e-19
25,0.000717897987691853,0.016592246435532625,-0.0004853006599558258,0.0018224350086647793,-0.0008151998850642675,-0.00016357308062951844,0.0013283568473651402,0.0010072351236005115,-2.168404344971009e-19,-5.421010862427522e-20,1.3010426069826053e-18
26,0.0006461081889226677,0.015397331483911033,-0.0004617966272205125,0.0016826814380272253,-0.0007801087907332756,-0.00015318724719496225,0.0012142886543178696,0.0009025726472939477,-1.951563910473908e-18,8.131516293641283e-20,8.673617379884035e-19
27,0.000581497370030401,0.01426914816517655,-0.0004377987339003783,0.0015520744786511598,-0.0007432500316367063,-0.0001431614267889585,0.001109494631014202,0.0008088244470144554,1.8431436932253575e-18,-3.2526065174565133e-19,-8.673617379884035e-19
28,0.000523347633027361,0.013207019519693903,-0.0004136795442089316,0.001430248179212479,-0.0007053999413532339,-0.00013353673442348407,0.0010132897260406776,0.0007248482378592455,4.336808689942018e-19,-1.0842021724855044e-19,6.505213034913027e-19
29,0.0004710128697246249,0.012209654958040647,-0.0003897376339938271,0.001316810824377302,-0.0006671890736609076,-0.00012434141064879067,0.0009250298523920971,0.0006496217507163944,0.0,2.168404344971009e-19,-6.505213034913027e-19
30,0.0004239115827521624,0.011275289061067135,-0.00036620916293973916,0.0012113545971410013,-0.0006291245230224951,-0.00011559310489312362,0.0008441109209818394,0.0005822300741185073,1.0842021724855044e-18,-2.168404344971009e-19,-8.673617379884035e-19
31,0.00038152042447694615,0.010401797701603745,-0.0003432778151728033,0.0011134634696133763,-0.0005916091329367119,-0.00010730081730547404,0.0007699676151460243,0.000521854336676662,-2.3852447794681098e-18,1.3552527156068805e-19,3.469446951953614e-18
32,0.00034336838202925153,0.0095867947557141,-0.0003210833253182779,0.0010227195909112137,-0.000554958003349551,-9.946654611229314e-05,0.000702071972463145,0.0004677615875616603,-2.3852447794681098e-18,-4.0657581468206416e-20,3.0357660829594124e-18
33,0.00030903154382632634,0.008827712230987073,-0.0002997287792313684,0.000938708403553165,-0.0005194126558341738,-9.20866813366518e-05,0.0006399318289858212,0.0004192957477189925,1.3010426069826053e-18,-1.3552527156068805e-20,-1.951563910473908e-18
34,0.00027812838944369376,0.008121866255910493,-0.0002792868542685188,0.0008610226873938907,-0.0004851531693019027,-8.515318034822765e-05,0.0005830891714008538,0.0003758695180919911,3.0357660829594124e-18,-4.0657581468206416e-20,-2.6020852139652106e-18
35,0.0002503155504993244,0.007466511040713195,-0.0002598051426658749,0.0007892657020595606,-0.00045230855879953465,-7.86545560176301e-05,0.0005311184344740476,0.00033695714326002134,-4.607859233063394e-18,2.303929616531697e-19,4.0115480381963664e-18
36,0.00022528399544939195,0.006858882629919516,-0.00024131068296771147,0.0007230535745077505,-0.00042096563477584965,-7.257670415368975e-05,0.000483624774202657,0.00030208793973190317,2.3310346708438345e-18,-2.0328790734103208e-19,-1.734723475976807e-18
37,0.00020275559590445276,0.006296234014727903,-0.00022381380817055677,0.0006620170572523942,-0.0003911765494436243,-6.690359333261517e-05,0.0004402423412216023,0.00027084050780877165,1.734723475976807e-18,2.710505431213761e-20,-1.951563910473908e-18
38,0.0001824800363140075,0.005775862954380124,-0.00020731140502872452,0.0006058027645495389,-0.0003629652099795813,-6.161783711770342e-05,0.00040063257404282694,0.00024283755456995748,-1.6263032587282567e-19,-4.0657581468206416e-20,2.168404344971009e-19
39,0.00016423203268260675,0.005295133665706446,-0.00019178966654941618,0.0005540739780655391,-0.0003363327148141748,-5.6701165959981134e-05,0.0003644825275226953,0.00021774126325136507,7.589415207398531e-19,-7.453889935837843e-20,-5.421010862427522e-19
40,0.00014780882941434607,0.004851493375315846,-0.0001772264088669168,0.0005065110999254493,-0.0003112619487479389,-5.213481371324565e-05,0.0003315032484395369,0.00019524915117750672,-3.686287386450715e-18,2.439454888092385e-19,3.686287386450715e-18
41,0.00013302794647291146,0.004442484586211754,-0.00016359301422936055,0.00046281181928552303,-0.0002877214547211959,-4.789983164717524e-05,0.000301428207126382,0.00017509036456432708,0.0,-3.3881317890172014e-20,-2.168404344971009e-19
42,0.00011972515182562034,0.004065753787120518,-0.00015085605358578768,0.0004226910484451646,-0.00026566868443594124,-4.397734106067191e-05,0.00027401179165955985,0.0001570223640092234,0.0,-1.0164395367051604e-19,-3.2526065174565133e-19
43,0.0001077526366430583,0.0037190572260436035,-0.00013897863507450343,0.00038588067579666083,-0.00024505271639890195,-4.0348734050375375e-05,0.0002490278690803116,0.00014082795939775682,-2.0599841277224584e-18,4.743384504624082e-20,2.439454888092385e-18
44,9.697737297875247e-05,0.003400264277319901,-0.0001279215184533936,0.0003521291754189787,-0.00022581651807261236,-3.699583064654469e-05,0.00022626841646178773,0.00012631265734636788,1.5720931501039814e-18,-1.7618285302889447e-19,-1.3552527156068805e-18
45,8.727963568087723e-05,0.0031073588519179183,-0.00011764403006245205,0.00032120110669212645,-0.00020789881846898506,-3.390099936416187e-05,0.000205542223274177,0.00011330228822314008,-1.3010426069826053e-18,8.131516293641283e-20,1.1384122811097797e-18
46,7.855167211278951e-05,0.0028384392321153177,-0.00010810480816624232,0.0002928765317990993,-0.00019123564850465243,-3.1047247208325936e-05,0.0001866736654000115,0.00010164088329444476,-2.1141942363467336e-18,-2.0328790734103208e-20,2.222614453595284e-18
47,7.069650490151055e-05,0.0025917166527217664,-9.926240439985174e-05,0.00026695037426958327,-0.00017576159859066832,-2.8418284299795082e-05,0.00016950155027010153,9.118877567891403e-05,-9.215718466126788e-19,3.049318610115481e-20,9.75781955236954e-19
48,6.36268544113595e-05,0.002365512900299702,-9.107576345763937e-05,0.00024323173769565546,-0.00016141083610402007,-2.5998567531421683e-05,0.00015387803189385342,8.182090159163414e-05,-1.2468324983583301e-18,0.0,1.4094628242311558e-18
49,5.726416897022355e-05,0.0021582571583377745,-8.350460005097526e-05,0.00022154320032086107,-0.00014811791945443502,-2.3773327013921886e-05,0.00013966759401648696,7.342528086642583e-05,-2.168404344971009e-19,-3.7269449679189215e-20,2.710505431213761e-19
50,5.15377520732012e-05,0.0019684822890751433,-7.650968945897564e-05,0.00020172009828869425,-0.000135818440304187,-2.1728578506576637e-05,0.00012674609922470008,6.590165798450761e-05,3.5236570605778894e-19,3.7269449679189215e-20,-2.168404344971009e-19
51,4.6383976865881087e-05,0.0017948207108268415,-7.005308565218642e-05,0.00018360980786366523,-0.00012444952102142305,-1.9851124543403948e-05,0.00011499990152004,5.916028684224055e-05,-1.6263032587282567e-18,3.7269449679189215e-20,1.5720931501039814e-18
52,4.174557917929297e-05,0.0016360000024945455,-6.409827893704242e-05,0.00016707103484614534,-0.0001139501905616251,-1.8128546547886166e-05,0.00010432501966719278,5.3120844284522495e-05,2.2632720350634905e-18,-8.809142651444724e-20,-2.1955093992831465e-18
53,3.757102126136367e-05,0.0014908383438312692,-5.861030330825777e-05,0.0001519731176374725,-0.00010426165860091255,-1.654918987059171e-05,9.46263684868837e-05,4.771145903655539e-05,-4.580754178751256e-18,2.574980159653073e-19,4.553649124439119e-18
54,3.381391913522731e-05,0.0013582398804131558,-5.355580217165576e-05,0.00013819534892788596,-9.532750482233159e-05,-1.5102143376244708e-05,8.58170451867193e-05,4.2867844105556944e-05,2.574980159653073e-18,-1.1858461261560205e-19,-2.5478751053409354e-18
55,3.043252722170458e-05,0.0012371900856802205,-4.890305978029844e-05,0.00012562631973641534,-8.70937977226064e-05,-1.3777214943208764e-05,7.781766779675416e-05,3.853252201380738e-05,-1.5720931501039814e-18,1.4907779871675686e-19,1.734723475976807e-18
56,2.738927449953412e-05,0.0011267511784259065,-4.462200458496551e-05,0.00011416328849392888,-7.950915511230837e-05,-1.2564904013082187e-05,7.055576279026084e-05,3.46541333816197e-05,-8.131516293641283e-19,-1.1858461261560205e-20,6.505213034913027e-19
57,2.4650347049580713e-05,0.001026057642385484,-4.068418971227515e-05,0.00010371157699784299,-7.252475657977477e-05,-1.1456372136019742e-05,6.396519901600718e-05,3.118682041807e-05,1.7889335846010823e-18,-7.623296525288703e-20,-1.7618285302889447e-18
58,2.218531234462264e-05,0.0009343118847843939,-3.706275492920126e-05,9.418399435333375e-05,-6.609431654145282e-05,-1.0443412294058879e-05,5.7985665139564244e-05,2.808967781188216e-05,1.2332799712022613e-18,-7.453889935837843e-20,-1.2332799712022613e-18
59,1.9966781110160377e-05,0.0008507800625928326,-3.373237371316061e-05,8.55002894285325e-05,-6.017402507195143e-05,-9.51841764625496e-06,5.256218788207115e-05,2.5326264356582256e-05,1.1926223897340549e-18,-3.5575383784680614e-20,-1.2197274440461925e-18
60,1.797010299914434e-05,0.0007747880985611468,-3.066918840620889e-05,7.75866318705477e-05,-5.472246246686504e-05,-8.67435022247322e-06,4.7644688450801555e-05,2.28641694036805e-05,-2.168404344971009e-18,1.5585406229479126e-19,2.236166980751353e-18
61,1.6173092699229907e-05,0.0007057179036837757,-2.785073587612957e-05,7.037512133823615e-05,-4.9700492413342376e-05,-7.904709994332341e-06,4.3187574672913075e-05,2.0674628924896366e-05,2.5953089503871762e-18,-1.1350241493207625e-19,-2.574980159653073e-18
62,1.4555783429306915e-05,0.0006430038183880239,-2.5255865623958063e-05,6.380332429177602e-05,-4.507113770365744e-05,-7.2035046695306115e-06,3.914936646874935e-05,1.8732186588119863e-05,1.2807138162485021e-18,-5.082197683525802e-20,-1.2468324983583301e-18
63,1.3100205086376223e-05,0.0005861292813226744,-2.2864651855853953e-05,5.781383742558081e-05,-4.079944160564886e-05,-6.56522048744183e-06,3.549235243144787e-05,1.7014395819930167e-05,-1.782157321023048e-18,9.147955830346444e-20,1.7211709488207383e-18
64,1.1790184577738602e-05,0.0005346237320080824,-2.0658300667577696e-05,5.2353876628928694e-05,-3.685231728152503e-05,-5.984794237570709e-06,3.218227541333271e-05,1.5501559347402874e-05,-7.860465750519907e-19,3.6422416731934915e-20,8.131516293641283e-19
